texts,dates,titles
"
                    
                        Strengthening the social contract with Scot*’s people.
                    

 
Deputy First Minister John Swinney laid out “a different, more progressive path for Scot*” as he presented the Scot*Budget 2023-24.
He promised to strengthen the social contract with the people of Scot* and pledged to do everything possible to shield families from the welfare cuts and austerity policies of the UK Government.
Supporting sustainable public services through the cost of living crisis is a priority – including more than £13.7 billion for NHS boards and £2 billion to establish and improve primary healthcare services in communities, as well as £1.7 billion for social care and integration, paving the way for the National Care Service. This record investment goes well beyond any previous commitment to pass on all consequentials to health and social care, and delivers a £1 billion uplift to the health budget.
Having already increased the unique Scot*Child Payment to £25 per week as part of a drive to eradicate child poverty, the Budget invests £428 million to uprate all other devolved benefits in April 2023 by September’s Consumer Price Index inflation level of 10.1%. It commits £20 million to extend the Fuel Insecurity Fund to provide a lifeline for households, including the most vulnerable, against rising energy prices.
Scot*’s transition to net zero is boosted with increased investment to over £366 million in delivering the Heat in Buildings Strategy in 2023-24. This will help tackle fuel poverty as part of a £1.8 billion commitment over this Parliament to improve energy efficiency and decarbonise more than a million Scot*homes by 2030.
The Budget commits £50 million to the Just Transition Fund for the North East and Moray - more than double the 2022-23 allocation - to diversify the regional economy away from carbon-intensive industries and capitalise on the opportunities presented by new, green industries.
Strengthened by the agreement between the Scottish-Government and the Scot*Green Party, the 2023-24 Scot*Budget also includes:
around £1 billion investment in high quality early learning and childcare provision, with a further £22 million invested in holiday food provision and expanding support for school-age childcare
£50 million for the Whole Family Wellbeing programme for preventative co-ordinated family support and a further £30 million to keep The Promise to care experienced children and young people
£80 million capital funding to support the expansion of free school meals
going beyond existing commitments with more than £550 million additional funding to Local Government
£165 million additional funding for frontline justice services and to continue with transformational reforms
a £46 million increase in resource funding to universities and colleges to ensure a highly qualified and highly skilled workforce for Scot*
Mr Swinney said:
“The Scottish-Government, like governments all over the world, is faced with a difficult set of choices. Through this Budget we are facing up to our responsibilities while being honest with the people of Scot* about the challenges which lie ahead.
“To govern is to choose and the Scottish-Government has made its choice.
“Within the powers available to us, we will choose a different path. A path which sees the Scottish-Government commit substantial resources to protect the most vulnerable people of Scot* from the impact of decisions and policies made by the UK Government. We choose to stand firmly behind the Scot*people, investing in our public services and doing everything possible to ensure that no one is left behind.
“This Budget strengthens the social contract between the Scottish-Government and every citizen of Scot* for the wider benefit of society. This social contract means that people in Scot* continue to enjoy many benefits not available throughout the UK – including free prescriptions, free access to higher education and the Scot*Child Payment. 
“Because we know this progressive model works, we choose the path where people are asked to pay their fair share, in the knowledge that in so doing they help to create the fairer society in which we all want to live.”
Background
Read the 2023-2024 Scot*Budget here.
Read the Deputy First Minister’s Parliamentary Statement on the 2023-2024 Scot*Budget.
See more from @ScotGov on Twitter and follow #ScotBudget for updates.             ",15/12/2022,Scottish Budget 2023-24
"
                    
                        Spending plan will protect families and public services.
                    

The 2023-24 Scot*Budget will take a distinctive approach to creating a fairer, more equal Scot*, Deputy First Minister John Swinney said.
He stressed the three Budget priorities of eradicating child poverty, strengthening public services and moving towards a net zero economy were strongly linked and would give more people the opportunity to flourish.
Ahead of delivering the Budget to Parliament today, Mr Swinney visited a scheme, delivered by City of Edinburgh Council and part-funded by the Scottish-Government, installing insulation for households at risk of fuel poverty.
He said:
“I was encouraged to see the vital work being carried out to improve energy efficiency and make homes warmer for families facing significantly higher bills this winter. This scheme highlights how tackling the increased cost of living can assist our drive towards net zero, and is an example of the importance of effective public services.
“Our Budget goals are mutually beneficial and represent a distinctive approach to the economic challenges we face. The Scot*Budget will take further steps to address inequality and eradicate child poverty. It will encourage a just transition to net zero, creating wealth and opportunity across the country. And it will be the catalyst for reforms necessary to ensure our first-class public services remain sustainable in the face of the challenges to come.
“I would like to go even further but the cost of living crisis has also laid bare the fiscal constraints of devolution, as we cannot borrow to support day to day expenditure when times are hard to assist us through these difficult days. It is clear that businesses and households are paying a steep price for the economic mismanagement of the UK Government.
“The cost of living crisis requires decisive action. In setting this Budget, the Scottish-Government will use its limited powers to the maximum extent that is responsible, to meet the challenges faced by the people of Scot*.”
Background
 The Scot*Budget 2023-24 will be presented to the Scot*Parliament on Thursday 15 December.
The Scottish-Government has provided more than £550 million since 2013 to councils across Scot* to provide insulation in hard-to-treat homes, helping 104,000 fuel poor households make their homes warmer and more energy efficient.
Wester Hailes is part of the Area Based Scheme delivered by City of Edinburgh council and targets households in fuel poverty/mixed tenure flats, delivering insulation and essential repairs.            ",15/12/2022,A Budget for a fair Scotland
"
                    
                        Primary school literacy and numeracy improvement reaches new high.
                    

The poverty-related attainment gaps in literacy and numeracy levels across primary schools have seen the biggest decreases since records began, official statistics show.
The gap between the proportion of primary pupils from the most and least-deprived areas achieving expected levels has narrowed by 3.4 percentage points in literacy and 3.7 percentage points in numeracy, according to the Achievement of Curriculum for Excellence Levels (ACEL) 2021/22. This marks the largest narrowing of the gap in a year since consistent records began in 2016/17.
There has also been a record increase in the proportion of primary school pupils achieving the expected levels of literacy (up 3.7 percentage points to 70.5%) and numeracy (up 3.3 percentage points to 77.9%).
Education Secretary Shirley-Anne Somerville said:
“These figures demonstrate a real recovery from the pandemic and underline our progress towards tackling the poverty-related attainment gap, and achieving excellence for all of Scot*’s children and young people.
“This record improvement over one year for primary pupils achieving the expected levels in numeracy and literacy also shows more young people are getting the support they need to reach their full potential.
“However, there is no room for complacency. I recognise that attainment levels are still largely below pre-pandemic levels and the publication of local stretch aims by local councils last week sets out clear plans to significantly narrow the poverty-related attainment gap in the years ahead.
“We know that the impact of the pandemic – compounded by the current cost of living crisis – means children and young people need our support now more than ever. We are determined to do all we can to ensure they can reach their full potential, including a record investment of £1billion over this parliamentary term in the Scot*Attainment Challenge.”
Background
The Achievement of Curriculum for Excellence Levels (ACEL) 2021/22 statistics  include data at Scot* level and for each local authority.
Data was collected and published for primary school pupils only in 2020/21 with the secondary school and special school  collection cancelled due to the additional work pressures on teachers resulting from the Alternative Certification Model.
Therefore, for S3 pupils comparisons cannot be made to 2020/21 as the data was not collected for that year. Attainment at this level has been close to 90 per cent for both literacy and numeracy since 2016/17. In 2021/22, 86% of S3 pupils achieved this level in literacy, with 89 per cent in numeracy.
In 2021/22, the full collection went ahead for the first time since 2018/19 meaning that data is being published for P1, P4, P7, S3 and special schools.            ",13/12/2022,Record narrowing of the attainment gap
"
                    
                        Helping families and services through the cost of living crisis.
                    

Eradicating child poverty, transforming the economy to deliver net zero and creating sustainable public services will be the key aims of the Scot*Budget 2023-24.
Deputy First Minister John Swinney warned relentless prioritisation was needed to tackle the combined impact of high inflation, the ongoing economic consequences of Brexit and the UK Government’s plans to reduce expenditure in future years, which are projected to reduce the Scottish-Government’s funding under the Barnett formula from 2025.
He said the Budget would channel support to where it was most needed while beginning a process of reform to help public services face the future with strength and resilience.
Mr Swinney said:
“Families, businesses and our public finances are under sustained economic pressure and the Scottish-Government has acted decisively to provide what support it can within its limited resources. We have allocated £3 billion in 2022-23 to mitigate the impact of the cost of living crisis, including targeted help such as increasing the game changing Scot*Child Payment to £25 per eligible child per week – a 150% increase within eight months. 
“However, given the fiscal constraints of devolution, it is not possible to go as far as we would like and so the Budget will prioritise three areas – eradicating child poverty, transforming the economy to deliver net zero and creating sustainable public services.
""Difficult decisions are required and resources will be targeted where they are most needed and can secure maximum value from every pound spent.
“The economic challenges we face also require a fundamental change in the way we manage public spending. The Bank of England is predicting the longest recession for a century so this Budget will set in motion reforms that will place our finances and public services on a more sustainable and resilient footing for the future.
“This is a time for firm leadership and bold decision making. Steps we take now will help ensure Scot* emerges from the current crisis a stronger, fairer, greener country.”
Background
The Scot*Budget 2023-24 will be presented to the Scot*Parliament on Thursday, 15 December.            ",11/12/2022,Priorities for the Scottish Budget
"
                    
                        £1.4 million Cost Crisis Emergency Fund launched.
                    

Islanders most impacted by the cost of living crisis will be able to access additional help.
The Islands Cost Crisis Emergency Fund will target immediate support to those who are struggling due to the cost of living crisis, either through existing schemes or new support.
The Fund was identified as part of the Emergency Budget Review announced last month as the cost of living on islands is higher when compared to the mainland. Funding is being allocated directly to the six island local authorities to support the needs of their communities.
Rural Affairs Secretary Mairi Gougeon said:
“Islands already experience higher costs of living, with some estimates around 20-65 per cent higher than the UK average, with higher fuel costs, a colder climate and the lack of consumer choice intensifying the impact of the cost crisis on islanders.
“This fund was developed to enable Local Authorities to take urgent action in helping mitigate the impacts of the cost of living crisis on households.  
“I would like to thank everyone involved for their commitment in getting this fund rolled out as quickly as possible and I hope it can provide support to those who need it the most.”
Sheila McKandie Head of Revenues & Customer Services at the Highland Council said:
“Highland Council very much welcome the Island Cost Crisis Emergency Fund award.
“This will supplement existing funds and help in providing further support to our island communities.”
James Stockan Council Leader at Orkney Islands Council said:
“As we head into winter, households right across our community are facing rising bills, increasing costs, and tough choices. This financial support from the Scottish-Government is a welcome boost as we face these challenges. 
“Our share of the fund is £305,000, of which £65,000 must be capital spend – elected members and officials will now be taking the time to determine how best we spend all of this fund to provide the optimum benefit for our community.”
Background
Funding allocation:

Local Authority 


Resource (000)


Capital (000)


Argyll & Bute 


155


42


Highland 


115


32


Na h-Eileanan Siar


283


77


North Ayrshire


63


17


Orkney


240


65


Shetland 


244


67

(This funding is for the 2022/23 financial year)
Emergency Budget Review
Cost of living crisis - Cost of Living Support Scot* (campaign.gov.scot)            ",09/12/2022,Support for island communities
"
                    
                        More help for victims as criminals pay towards costs.
                    

The third application round of the Victim Surcharge Fund has now opened for bids from organisations that support victims of crime.
Anyone who commits a crime that results in a court fine is charged an additional penalty – the victim surcharge. The accumulated Victim Surcharge Fund provides direct, practical help to victims, for example meeting household repair costs that have arisen due to crime, or providing food, utility or clothing expenses for people escaping domestic abuse.
A total of £413,727 has been awarded to organisations, including Victim Support Scot*, trauma and loss centre the Manda Centre and Scot*women’s aid groups, since the Scottish-Government launched the Victim Surcharge Fund in 2019.
Justice Secretary Keith Brown said:
“We are committed to putting victims' rights and needs at the centre of the criminal justice system and it is absolutely right that criminals should pay towards helping victims of crime as they recover from their experience.
“The Victim Surcharge Fund builds on the Scottish-Government’s wider support for victims. Over the past five years we have invested £93m through our justice budget alone, demonstrating our commitment to putting victims first.
“I encourage victim support organisations to apply to the Fund so that victims can continue to access the support and help that they need.”
Chief Executive of Victim Support Scot* Kate Wallace said:
“The cost-of-living crisis has meant that more people affected by crime are struggling to make ends meet. This additional funding from the Victim Surcharge Fund allows VSS to cover the cost of essential items such as food vouchers, property repairs, alarms and funeral costs, thereby meeting the needs of vulnerable victims in the aftermath of crime.
“Since 2020, VSS Emergency Assistance Fund has provided £495,000 worth of goods to more than 1,000 people and their families, thanks to funding from the Victim Surcharge Fund. We accept applications directly from people affected by crime and have received referrals from over 200 support organisations.
“For many of the people we support, this financial assistance is simply life changing. We welcome the news that the fund has reopened, which helps empower people to move on after a crime.”
Background 
Victims' organisations interested in applying to the Fund can request an application form by emailing VictimSurchargefund@gov.scot and should apply by the 9 January 2023 deadline.
Previous recipients have included Victim Support Scot*, The Moira Fund, The Manda Centre, Angus Women’s Aid and Dumbarton District Women’s Aid.
The victim surcharge came into force in Scot* on 25 November 2019 and applies to all persons who commit an offence on or after that date and who are subsequently convicted and receive a court fine.
",07/12/2022,Victim Surcharge Fund
"
                    
                        Developing policy with green investors in mind.
                    

Scot*’s attractiveness to global investors will be enhanced by the establishment of the First Minister’s Investor Panel.
The expert panel of investors and asset managers will advise on how Scot* can create the right conditions to attract global capital investment to develop the physical infrastructure required for a just transition. Its remit includes areas such as offshore wind, hydrogen and the decarbonisation of transport.
Members have been selected for their experience and expertise, bringing together a wealth of knowledge to provide market intelligence in current and future green investment opportunities.
First Minister Nicola Sturgeon and Angus MacPherson, CEO at Noble & Company, will co-chair the Panel, which will meet for the first time on 12 December. 
Speaking at TheCityUK Annual Conference in Edinburgh, the First Minister said:
“Securing capital investment from sources within Scot*, across the UK, and right around the world is fundamental to enabling us to achieve our wider ambitions for the economy. Tackling the climate crisis is both a moral obligation and an economic opportunity. We have the chance to establish Scot* as a major centre for green and ethical finance, while helping Scot* - and perhaps also the wider world - to move to net zero.
“The investor panel demonstrates the Scottish-Government’s determination to work with the investor community. We know how crucial it is to support sustainable growth and we want to use insights and expertise from the sector as we recover from the pandemic, get through the cost of living crisis, and ensure a just and rapid transition to net zero.""
Angus MacPherson, co-chair of the Panel, said:
“I am delighted to accept the First Minister’s invitation to Co-chair the Investor Panel.
“There is a clear and compelling case for the private and public sectors to work together to address the global challenges we face, particularly on the need to transition to net zero.
“I look forward to working with the First Minister and panel members to explore how we can attract mobile capital investment, maximise current and future growth opportunities and help deliver a just transition to net zero.”
Miles Celic, Chief Executive Officer at TheCityUK, said:
“Scot*’s financial and related professional services industry has always had innovation at its core. It has long played an important role in driving growth and opportunity here at home and around the world. To build on this success and unlock the investment needed to fund critical projects for a Net-Zero future in Scot* and beyond, a close partnership between government, industry and regulators is essential.”
Background
The Scottish-Government committed in Scot*'s National Strategy for Economic Transformation - gov.scot (www.gov.scot) to establishing an Investor Panel to attract investment for a pipeline of projects in Scot* that support the transition to net zero and that brings investor intelligence to policy and regulatory development early in the process.
The full membership of the Investor Panel will be confirmed in due course; members include:
Andrew Telfer, Baillie Gifford
Alexandra Basirov,Bank of America, Managing Director and Head of EMEA ESG advisory and financing solutions
Gavin Templeton, formerly Head of Sustainable Finance at UK Green Investment Group
Shane Corstorphine, Former Finance Chief, Skyscanner
Baroness Margaret Ford, Chair of Deloitte UK Audit Governance Board
",01/12/2022,Attracting Investment for a net zero future
"
                    
                        Improvements make it easier for families to get money they are entitled to
                    

People who receive Scot*Child Payment and qualify for Best Start Grant Early Learning and School Age payments will be paid them automatically from this week, without the need to apply for them separately. 
Social Security Scot* will notify clients by SMS when they are checking eligibility for the Best Start Grants and, if they are eligible, will write to advise them of the payment.
The move to automatic awards will mean less paperwork for tens of thousands of families and ensure that families automatically receive the support to which they’re entitled.
It builds on work already completed to make applying for our five family payments as simple as possible.
It includes the ability to apply for all children in a household on a single form.
Minister for Social Security, Ben Macpherson said:
""Our extension to the Scot*Child Payment and its increase to £25 per child per week has been widely welcomed and will make a significant difference to families across the country. The increase represents a rise of 150% in just eight months.
“The increase and extension was described as a watershed moment in tackling child poverty by the Joseph Rowntree Foundation and already people have applied in their tens of thousands.
“Tackling child poverty is a key mission for the Scottish-Government and automating payments, where we have the information we need to do so, will mean parents and carers automatically getting the financial support they are eligible for paid directly to them.
“We are committed to making sure that receiving our five family payments is as straightforward as possible, using our limited social security powers and resources to help”.
CEO of One Parent Families Scot*, Satwat Rehman said
“We are delighted that Social Security Scot* have made changes so that parents who have applied for and receive Scot*Child Payment will no longer have to fill out separate forms to receive other family benefits.
“Many of the single parents we support are not aware of the financial support available to them and would therefore be at risk of losing out. We hope the change to automatic payments will lead to an increase in the number of families accessing benefits they are entitled to and will ease the financial and mental strain of the cost-of-living crisis.”
Background
Best Start Grant Early Learning Payment and Best Start Grant School Age Payment are part of a package of five family payments. This package also includes Best Start Grant Pregnancy and Baby Payment, Best Start Foods and Scot*Child Payment. The Scottish-Government’s package of five family payments for low-income families is worth up to a maximum of over £10,000 by the time a family’s first child turns 6, and £9,700 for second and subsequent children
Best Start Grant Early Learning Payment provides £267.65 per child to support child development, for example travel costs, trips out and toys for home learning
The School Age Payment provides £267.65 per child to help with the costs of preparing for school, for example educational toys or after school activities. Eligibility is based on the child’s age and relates to when a child is first old enough to start school. The application window runs from 1 June until the last day in February the following year. There is no requirement to take up a place at school to qualify for a payment
In 2022-23 we expect 59,000 households will receive £20 million of support through Best Start Grant (Scot*Fiscal Commission report published May 2022). With projected take up rates of 76% for Pregnancy and Baby first births, 77% for Pregnancy and Baby subsequent births, 90% for Early Learning Payment and 90% for School Age Payment
The Scot*Fiscal Commission (report published May 2022) has forecast that 30,000 people will receive the Early Learning Payment and 22,000 people will receive the School Age Payment during the 2022-23 financial year
Eligible families, and carers can find out more and apply at mygov.scot/beststart or by calling Social Security Scot* free on 0800 182 2222
People can find out more about Scot*Child Payment and the other five family payments at mygov.scot/fivefamilypayments
",30/11/2022,Best Start Grant Early Learning and School Age Payment to be made automatically
"
                    
                        Reported figures just ‘tip of the iceberg’.
                    

Cabinet Secretary for Justice and Veterans Keith Brown is encouraging people experiencing domestic abuse to seek help, advice or support – and where appropriate, report incidents to the police.
Official statistics for 2021-22 released today, show a 1% fall in the number of domestic abuse incidents recorded by the police. Of these, just over four-in-five had a female victim and a male suspected perpetrator.
It is the first time since the ground-breaking Domestic Abuse (Scot*) Act, which criminalised psychological domestic abuse and coercive and controlling behaviour and came into effect in 2019 - that the number of reported incidents has fallen.
However, the most recent results from the Scot*Crime and Justice Survey (for 2018-20) estimated that fewer than one-in-five cases of domestic abuse are reported to the police.
Since the launch of the 2018 Domestic Abuse (Scot*) Act, Scottish-Government has introduced a range of measures to create a victim-centred justice system which helps people feel more confident in reporting crimes. This includes:
Establishing a Domestic Homicide Review taskforce to help prevent homicides in Scot* where domestic abuse is suspected
Providing £26.5m of funding to courts in 2021-22 to maintain enhanced court capacity, helping to address backlogs
Introducing new Evidence by Commission suites – to improve the experience of vulnerable victims when providing evidence for court cases.
Awarding £48m of funding to 23 organisations in Scot* over the next three years, through its Victim-Centred Approach Fund, including £18.5m for specialist advocacy support for survivors of gender-based violence.
The 2022-23 Programme for Government also commits to a consultation on new justice powers to tackle misogynistic behaviour, helping to address the root causes of inequalities and men’s violence against women. The Scottish-Government is also considering the possibility of a specialist sexual offences court to help improve victims’ experience of the justice system.
Mr Brown said: “I am grateful to everyone who has felt able to come forward over the past year to report incidents of domestic abuse to the police. Behind each of these numbers is a story in itself, of months or even years of abuse and control, which is why the Scottish-Government legislated to give police, prosecutors and the courts greater powers to tackle such crimes.
“While the small drop in the number of domestic abuse incidents reported to the police may be welcome, the reality has always been that figures drawn from police reports represent only the tip of the iceberg when it comes to the true extent of violence against women and girls.
“My message to anyone experiencing violence, including coercive and controlling behaviours, is to seek help, advice or support – and where appropriate, report incidents to the police.
“We are continuing to make changes to the justice system to make it easier for people to come forward and report incidents and for perpetrators to be appropriately dealt with – to help realise our vision of a Scot* as a place where women and girls live free of violence and abuse.”
Assistant Chief Constable Bex Smith, Police Scot* said: “Domestic abuse remains an under-reported crime. Abusers manipulate and control their victims, and it can be difficult for victims to recognise what’s happening and then to seek help.
“Friends, families and colleagues can often be the first to recognise abuse and to call it out. I would urge anyone who is a victim of abuse or is concerned someone they know is a victim, then please get in touch. Help and support is available from the police and from support agencies.
“All it takes is one call or one person to alert us and we can help end the threat and harm caused by domestic abuse.”
Victim Support Scot* chief executive, Kate Wallace, said:
“Victim Support Scot* (VSS) is here to support people when they need it most. Looking beyond the statistics, our teams witness the devastating impact gender-based violence has on peoples’ lives.
“We all have a collective duty to unite and respond to people’s needs and do what we can to tackle gender-based violence. In response, our staff and volunteers continue to provide practical advice, emotional support as well as financial support through our Emergency Assistance Fund.
“VSS has also recently introduced remote evidence rooms where victims can pre-record or give evidence via video link to anywhere in the world, in a safe, supported and comfortable environment. 
“Anyone who is experiencing domestic abuse can access support through our helpline on 0800 160 1985 or through online chat by going to victimsupport.scot.”
Scot*Women’s Aid chief executive Marsha Scott said:  
‘’There are many complex and legitimate reasons why women experiencing domestic abuse decide not to report their abuse to the police. At Scot*Women’s Aid, we offer practical and emotional support to all victim-survivors of domestic abuse - whatever they decide to do—after all, they are the experts.  Throughout the 16 Days of Activism Against Gender-Based Violence, Scot*Women’s Aid’s ‘Cost of Leaving’ campaign will highlight the impact that the cost of living crisis is having on women and children experiencing domestic abuse.
“Like Covid, children and women’s experience of poverty is the crisis within a crisis.  Fear of destitution and homelessness, mountains of debt, and threats from their abusers to child maintenance and other pressures make already constrained choices a set of worse-case scenarios. 
“The domestic abuse statistics hardly begin to describe the abuse and fear that are made worse by the cost of living crisis. Scot* must put an appropriate financial safety net in place so that children and women seeking safety and freedom don’t face these draconian choices.”
Read the Domestic Abuse Recorded by the police in Scot*, 2021-22 statistics 
Further information:
For more information and support for people experiencing domestic abuse, please visit: Where to get support - Safer Scot*
Scot*’s Domestic Abuse and Forced Marriage Helpline is available 24/7. Call free on 0800 027 1234 or email and web chat at www.sdafmh.org.uk            ",29/11/2022,Cabinet Secretary calls for public to report domestic abuse incidents
"
                    
                        An Official Statistics Publication for Scot*.
                    

Statistics on annual average private sector rents to the end of September 2022, based predominantly on advertised rent data, have been released today by Scot*’s Chief Statistician.
Average rents for two bedroom properties, the most common type of private rented home in Scot*, have increased in 17 out of 18 areas of Scot* compared with the previous year.
Increases in seven of these areas were above the annual rate of inflation of 7.6%, ranging from 7.7% in Greater Glasgow up to 10.3% in South Lanarkshire. Meanwhile the average two bedroom rent in the Ayrshires decreased by 1.5%.
These regional trends combine to show an estimated 6.2% annual increase in average two bedroom monthly rents at a Scot* level.
Average rents increased at a Scot* level across all property size categories, with increases of 6.3%, 6.2%, 7.4%, 7.5% and 6.9% for one to four bedroom and one bedroom shared properties respectively.
Over the longer term, average rents in Lothian and Greater Glasgow have increased above the rate of inflation of 33.7% between 2010 and 2022 across all property sizes, whilst the Ayrshires, Dumfries and Galloway, North Lanarkshire and West Dunbartonshire have seen increases in average rents of less than the rate of inflation across all property sizes.
Background
These statistics refer to the average 12 month UK Consumer Price Index rate of inflation, which was 7.6% across the year to end September 2022, and which has been 33.7% between the year to end September 2010 and the year to end September 2022.
The full statistical publication includes main findings on rent levels for one bedroom, two bedroom, three bedroom, four bedroom, and one bedroom shared properties. It presents information on rent levels for these property sizes across each of the 18 broad rental market areas in Scot* and contains information on average rents as well as rents at the higher and lower end of the market.
The publication uses data from the Rent Service Scot* market evidence database, which is collected for the purposes of determining annual Local Housing Allowance levels and Local Reference Rent. The rental information contained in the market evidence database is largely based on advertised rents, therefore it is important to note that the statistics presented in this publication do not represent rent changes for existing tenants.
In addition, note that these statistics cover the period to year end September 2022, and so largely pre-date the Programme for Government proposals for emergency cost of living rent freeze legislation announced on 6 September 2022.
Official statistics are produced in accordance with the Code of Practice for Statistics.            ",29/11/2022,"Private Sector Rent Statistics, 2010 to 2022"
"
                    
                        Starting salary for a fully qualified teacher to reach £35,650.
                    

A new progressive pay offer – the fourth which has been made to unions - recognises the impact of the cost of living crisis on lower-paid teachers, with an increase of up to 6.85%.
For those classroom teachers on the main grade scale, who benefit from pay progression, this offer will mean an increase in one year of over 10%.
Those at the top of the scale will receive a 5% increase, taking their salary to £44,453. A teacher moving from probation into a fully qualified post would gain an annual salary increase of 27%.
A fully qualified teacher in Scot* would receive £35,650 – over £7,500 more than their counterparts in England under the offer. The most experienced classroom teachers would receive £5,600 more than they would if they were teaching in England on the main pay range.
Overall, if accepted, this would represent a cumulative pay increase for the majority of teachers of 21.8% since 2018.
Education Secretary Shirley-Anne Somerville said:
""This is a fair offer which recognises that the cost of living crisis is the priority, with higher increases for staff on lower salaries. 
""This is now the fourth offer that has been made. In the same time EIS have not changed their request for a 10% pay increase – even for those on the highest incomes.
""I have been clear that we have limited room for manoeuvre. The financial situation for the Scottish-Government is challenging and additional money for teacher pay means reduced public services elsewhere.
""In these challenging times it is important we focus our attention on those who are most impacted by the cost of living crisis, as well as ensuring fairness to all public sector workers. I would urge leadership to postpone plans for industrial action and consider this new offer.”
Background
The offer will mean a minimum increase of £1,926 or 5%, whichever is higher, for those earning up to £60,000. Everybody earning over £60,000 p.a. will still receive a pay increase of £3,000.
Main grade pay scale:

Pay point


Current salary


Increase


New salary 


% increase


0


28,113


1,926


30,039


6.85


1


33,729


1,926


35,655


5.71


2


35,643


1,926


37,569


5.4


3


37,713


1,926


39,639


5.1


4


40,107


5%


42,112


5%


5


42,336


5%


44,453


5%

             ",22/11/2022,New progressive teacher pay offer made
"
                    
                        Roadmap to fair, green prosperity for communities and regions.
                    

Improvements to health, tackling child poverty and reaching climate goals are at the heart of a toolkit to support local economies to be fairer, greener, healthier and more resilient.
The Wellbeing Economy Toolkit: Supporting place-based economic strategy and policy development enables local authorities to identify and measure local wellbeing metrics including health, child poverty, levels of greenhouse gas emissions and fair work, and prioritise investments and policies to improve them.
This will include:
the creation of more high quality, sustainable local jobs by using more local and regional procurement contracts
improved transport links to help people access services and work
better access to the natural environment, which leads to better mental and physical health
The Constitution Secretary announced the toolkit at the Wealth of Nations 2.0 conference at the University of Glasgow. He was joined by representatives from fellow Wellbeing Economy Governments (WEGo) of Finland and Wales to take questions from young people, five years on from the first conversations to establish the network.
Constitution Secretary Angus Robertson said:
“The need for a new economic model has never been clearer, and that’s why I think the wellbeing economy approach is gaining so much interest, both here, and around the world.
“We see that in the growth of WEGo - the network of wellbeing economy governments – which began as a coalition of Scot*, Iceland and New Zealand. Since this event was last held in 2020, two more governments – Finland and Wales – have joined, and other countries including Canada are showing a growing interest.
“Creating a wellbeing economy remains a defining mission for the Scottish-Government, and it is my firm belief that Scot* could use the powers of independence to achieve that aim more fully. 
“Building a wellbeing economy is a huge challenge for any country, at any time. The current crises we are facing make it harder, but they also underline why we need to make this transformation as a matter of urgency.”
Jimmy Paul, Director of Wellbeing Economy Alliance Scot*, said: 
""This practical new toolkit will be an invaluable resource for developing local economic strategies that really work for communities.
“Amidst the cost of living and climate crises, it’s never been more important that economic approaches start with the goal of ensuring we all have what we need to live good lives and protect the health of our natural world, rather than continuing to centre outdated metrics like GDP growth. The toolkit could provide a step-change in the way local economic strategies are delivered in Scot*.”
Background
Wellbeing economy toolkit: supporting place based economic strategy and policy development 
The Scottish-Government committed to transitioning to a wellbeing economy in Scot*'s National Strategy for Economic Transformation 
Scot* is a founder member of the Wellbeing Economy Governments (WEGo)  network, which pools knowledge and shares expertise among its international members on how to transition to a wellbeing economy.
Community wealth building - Cities and regions             ",22/11/2022,Wellbeing economy toolkit for local authorities
"
                    
                        No measures to ease pressure on devolved budgets.
                    

 
The UK Government’s Autumn Statement fails to address the pressure on devolved budgets to help people with the cost of living crisis, support public services, and finance fair pay offers, according to Deputy First Minister John Swinney.
Reacting to Chancellor of the Exchequer Jeremy Hunt’s fiscal announcement, Mr Swinney expressed dismay at his failure to address the impact of inflation on the Scottish-Government’s budget, when businesses and households continue to face financial uncertainty and £1 billion in savings have had to be found to help those who need it most.
The Deputy First Minister said:
“Today’s statement shows that households across Scot* are paying a steep price for the economic mismanagement of the UK Government, with average household disposable incomes forecast to fall by 7% in real terms according to the Office for Budget Responsibility. This would erode just under 10 years of growth in living standards, taking them back to levels not seen since 2013-14, meaning they would not recover to pre-pandemic levels until after 2027-28 – a devastating indictment of the UK Government’s management of the economy.
“Inflation is eating away at the Scot*budget, and due to the lack of additional funding in 2022-23 and the financial restrictions of devolution, we have had no choice but to make savings of more than £1 billion.
“I welcome the Chancellor’s decision to increase benefits in line with inflation from next financial year and retain the triple lock on pensions - both measures we have consistently called for. However, the higher energy price cap from April is still unsustainable for many households. The proposals may limit the impact for some consumers, but the UK Government needs to carefully consider the affect a £500 rise in energy bills will have on those who are in or at risk of fuel poverty. And there’s still no certainty on how businesses struggling to stay afloat will be supported from April after the Energy Bill Relief Scheme ends.
“The constant U-turns on tax by the UK Government have made planning for the Scot*Budget more challenging this year. We will take time to consider the implications for Scot* before setting out our own plans as part of the normal budget process. I am pleased the Chancellor has finally listened to our calls to tax more of the windfall gains in the energy sector, but he should have gone further to remove the poorly targeted investment allowance, which only serves to encourage short-term investment in fossil fuels rather than promoting long-term, sustainable energy solutions.
“This leaves me with the difficult task of setting Scot*’s Budget for 2023-24 with no hope of financial flexibility to make a real difference in the lives of those who need it most.”            ",17/11/2022,Households ‘paying a steep price for UK economic mismanagement'
